Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/03/2015 10:45   CDT,0.89,5.48,799
08/03/2015 11:00   CDT,0.90,5.48,806
08/03/2015 11:15   CDT,0.90,5.48,806
08/03/2015 11:30   CDT,0.84,5.48,746
08/03/2015 11:45   CDT,0.89,5.48,791
08/03/2015 12:00   CDT,0.87,5.49,777
08/03/2015 12:15   CDT,0.85,5.49,762
08/03/2015 12:30   CDT,0.80,5.50,718
08/03/2015 12:45   CDT,0.84,5.51,749
08/03/2015 13:00   CDT,0.80,5.52,719
08/03/2015 13:15   CDT,0.79,5.54,706
08/03/2015 13:30   CDT,0.76,5.55,684
08/03/2015 13:45   CDT,0.76,5.56,685
08/03/2015 14:00   CDT,0.75,5.57,678
08/03/2015 14:15   CDT,0.71,5.58,641
08/03/2015 14:30   CDT,0.77,5.59,695
08/03/2015 14:45   CDT,0.72,5.58,649
08/03/2015 15:00   CDT,0.68,5.61,613
08/03/2015 15:15   CDT,0.69,5.61,628
08/03/2015 15:30   CDT,0.74,5.63,675
08/03/2015 15:45   CDT,0.73,5.62,659
08/03/2015 16:00   CDT,0.73,5.63,667
08/03/2015 16:15   CDT,0.72,5.62,651
08/03/2015 16:30   CDT,0.72,5.63,652
08/03/2015 16:45   CDT,0.78,5.62,704
08/03/2015 17:00   CDT,0.79,5.62,712
08/03/2015 17:15   CDT,0.79,5.61,719
08/03/2015 17:30   CDT,0.76,5.61,688
08/03/2015 17:45   CDT,0.79,5.60,710
08/03/2015 18:00   CDT,0.79,5.60,710
08/03/2015 18:15   CDT,0.78,5.59,702
08/03/2015 18:30   CDT,0.81,5.59,732
08/03/2015 18:45   CDT,0.76,5.59,687
08/03/2015 19:00   CDT,0.77,5.58,694
08/03/2015 19:15   CDT,0.84,5.58,762
08/03/2015 19:30   CDT,0.85,5.57,768
08/03/2015 19:45   CDT,0.81,5.57,731
08/03/2015 20:00   CDT,0.79,5.56,715
08/03/2015 20:15   CDT,0.84,5.56,760
08/03/2015 20:30   CDT,0.86,5.55,774
08/03/2015 20:45   CDT,0.80,5.55,722
08/03/2015 21:00   CDT,0.84,5.54,751
08/03/2015 21:15   CDT,0.86,5.54,774
08/03/2015 21:30   CDT,0.80,5.54,721
